CellCenters:0,CellCenters:1,CellCenters:2
0.05,0.5,258.49
0.05,0.5,258.45
0.05,0.5,258.4
0.05,0.5,258.35
0.05,0.5,258.29
0.05,0.5,258.24
0.05,0.5,258.2
0.05,0.5,258.15
0.05,0.5,258.1
0.05,0.5,258.04
0.05,0.5,257.99
0.05,0.5,257.95
0.05,0.5,257.9
0.05,0.5,257.85
0.05,0.5,257.79
0.05,0.5,257.74
0.05,0.5,257.7
0.05,0.5,257.65
0.05,0.5,257.6
0.05,0.5,257.54
0.05,0.5,257.49
0.05,0.5,257.45
0.05,0.5,257.4
0.05,0.5,257.35
0.05,0.5,257.29
0.05,0.5,257.24
0.05,0.5,257.2
0.05,0.5,257.15
0.05,0.5,257.1
0.05,0.5,257.04
0.05,0.5,256.99
0.05,0.5,256.95
0.05,0.5,256.9
0.05,0.5,256.85
0.05,0.5,256.79
0.05,0.5,256.74
0.05,0.5,256.7
0.05,0.5,256.65
0.05,0.5,256.6
0.05,0.5,256.54
0.05,0.5,256.49
0.05,0.5,256.45
0.05,0.5,256.4
0.05,0.5,256.35
0.05,0.5,256.29
0.05,0.5,256.24
0.05,0.5,256.2
0.05,0.5,256.15
0.05,0.5,256.1
0.05,0.5,256.04
0.05,0.5,255.87
0.05,0.5,255.32
0.05,0.5,254.27
0.05,0.5,252.72
0.05,0.5,250.67
0.05,0.5,248.12
0.05,0.5,245.07
0.05,0.5,241.52
0.15,0.5,258.49
0.15,0.5,258.45
0.15,0.5,258.4
0.15,0.5,258.35
0.15,0.5,258.29
0.15,0.5,258.24
0.15,0.5,258.2
0.15,0.5,258.15
0.15,0.5,258.1
0.15,0.5,258.04
0.25,0.5,258.49
0.25,0.5,258.45
0.25,0.5,258.4
0.25,0.5,258.35
0.25,0.5,258.29
0.25,0.5,258.24
0.25,0.5,258.2
0.25,0.5,258.15
0.25,0.5,258.1
0.25,0.5,258.04
0.15,0.5,257.99
0.15,0.5,257.95
0.15,0.5,257.9
0.15,0.5,257.85
0.15,0.5,257.79
0.15,0.5,257.74
0.15,0.5,257.7
0.15,0.5,257.65
0.15,0.5,257.6
0.15,0.5,257.54
0.15,0.5,257.49
0.15,0.5,257.45
0.15,0.5,257.4
0.15,0.5,257.35
0.15,0.5,257.29
0.15,0.5,257.24
0.15,0.5,257.2
0.15,0.5,257.15
0.15,0.5,257.1
0.15,0.5,257.04
0.15,0.5,256.99
0.15,0.5,256.95
0.15,0.5,256.9
0.15,0.5,256.85
0.15,0.5,256.79
0.15,0.5,256.74
0.15,0.5,256.7
0.15,0.5,256.65
0.15,0.5,256.6
0.15,0.5,256.54
0.15,0.5,256.49
0.15,0.5,256.45
0.15,0.5,256.4
0.15,0.5,256.35
0.15,0.5,256.29
0.15,0.5,256.24
0.15,0.5,256.2
0.15,0.5,256.15
0.15,0.5,256.1
0.15,0.5,256.04
0.15,0.5,255.87
0.15,0.5,255.32
0.15,0.5,254.27
0.15,0.5,252.72
0.15,0.5,250.67
0.15,0.5,248.12
0.15,0.5,245.07
0.15,0.5,241.52
0.25,0.5,257.99
0.25,0.5,257.95
0.25,0.5,257.9
0.25,0.5,257.85
0.25,0.5,257.79
0.25,0.5,257.74
0.25,0.5,257.7
0.25,0.5,257.65
0.25,0.5,257.6
0.25,0.5,257.54
0.25,0.5,257.49
0.25,0.5,257.45
0.25,0.5,257.4
0.25,0.5,257.35
0.25,0.5,257.29
0.25,0.5,257.24
0.25,0.5,257.2
0.25,0.5,257.15
0.25,0.5,257.1
0.25,0.5,257.04
0.25,0.5,256.99
0.25,0.5,256.95
0.25,0.5,256.9
0.25,0.5,256.85
0.25,0.5,256.79
0.25,0.5,256.74
0.25,0.5,256.7
0.25,0.5,256.65
0.25,0.5,256.6
0.25,0.5,256.54
0.25,0.5,256.49
0.25,0.5,256.45
0.25,0.5,256.4
0.25,0.5,256.35
0.25,0.5,256.29
0.25,0.5,256.24
0.25,0.5,256.2
0.25,0.5,256.15
0.25,0.5,256.1
0.25,0.5,256.04
0.25,0.5,255.87
0.25,0.5,255.32
0.25,0.5,254.27
0.25,0.5,252.72
0.25,0.5,250.67
0.25,0.5,248.12
0.25,0.5,245.07
0.25,0.5,241.52
0.35,0.5,258.49
0.35,0.5,258.45
0.35,0.5,258.4
0.35,0.5,258.35
0.35,0.5,258.29
0.35,0.5,258.24
0.35,0.5,258.2
0.35,0.5,258.15
0.35,0.5,258.1
0.35,0.5,258.04
0.45,0.5,258.49
0.45,0.5,258.45
0.45,0.5,258.4
0.45,0.5,258.35
0.45,0.5,258.29
0.45,0.5,258.24
0.45,0.5,258.2
0.45,0.5,258.15
0.45,0.5,258.1
0.45,0.5,258.04
0.35,0.5,257.99
0.35,0.5,257.95
0.35,0.5,257.9
0.35,0.5,257.85
0.35,0.5,257.79
0.35,0.5,257.74
0.35,0.5,257.7
0.35,0.5,257.65
0.35,0.5,257.6
0.35,0.5,257.54
0.35,0.5,257.49
0.35,0.5,257.45
0.35,0.5,257.4
0.35,0.5,257.35
0.35,0.5,257.29
0.35,0.5,257.24
0.35,0.5,257.2
0.35,0.5,257.15
0.35,0.5,257.1
0.35,0.5,257.04
0.35,0.5,256.99
0.35,0.5,256.95
0.35,0.5,256.9
0.35,0.5,256.85
0.35,0.5,256.79
0.35,0.5,256.74
0.35,0.5,256.7
0.35,0.5,256.65
0.35,0.5,256.6
0.35,0.5,256.54
0.35,0.5,256.49
0.35,0.5,256.45
0.35,0.5,256.4
0.35,0.5,256.35
0.35,0.5,256.29
0.35,0.5,256.24
0.35,0.5,256.2
0.35,0.5,256.15
0.35,0.5,256.1
0.35,0.5,256.04
0.35,0.5,255.87
0.35,0.5,255.32
0.35,0.5,254.27
0.35,0.5,252.72
0.35,0.5,250.67
0.35,0.5,248.12
0.35,0.5,245.07
0.35,0.5,241.52
0.45,0.5,257.99
0.45,0.5,257.95
0.45,0.5,257.9
0.45,0.5,257.85
0.45,0.5,257.79
0.45,0.5,257.74
0.45,0.5,257.7
0.45,0.5,257.65
0.45,0.5,257.6
0.45,0.5,257.54
0.45,0.5,257.49
0.45,0.5,257.45
0.45,0.5,257.4
0.45,0.5,257.35
0.45,0.5,257.29
0.45,0.5,257.24
0.45,0.5,257.2
0.45,0.5,257.15
0.45,0.5,257.1
0.45,0.5,257.04
0.45,0.5,256.99
0.45,0.5,256.95
0.45,0.5,256.9
0.45,0.5,256.85
0.45,0.5,256.79
0.45,0.5,256.74
0.45,0.5,256.7
0.45,0.5,256.65
0.45,0.5,256.6
0.45,0.5,256.54
0.45,0.5,256.49
