"Points:0","Points:1","Points:2"
0.25,0.5,258.495
0.25,0.5,258.44501
0.25,0.5,258.395
0.25,0.5,258.345
0.25,0.5,258.295
0.25,0.5,258.245
0.25,0.5,258.19501
0.25,0.5,258.145
0.25,0.5,258.095
0.25,0.5,258.045
0.25,0.5,257.995
0.25,0.5,257.94501
0.25,0.5,257.895
0.25,0.5,257.845
0.25,0.5,257.795
0.25,0.5,257.745
0.25,0.5,257.69501
0.25,0.5,257.645
0.25,0.5,257.595
0.25,0.5,257.545
0.25,0.5,257.495
0.25,0.5,257.44501
0.25,0.5,257.395
0.25,0.5,257.345
0.25,0.5,257.295
0.25,0.5,257.245
0.25,0.5,257.19501
0.25,0.5,257.145
0.25,0.5,257.095
0.25,0.5,257.045
0.25,0.5,256.995
0.25,0.5,256.94501
0.25,0.5,256.895
0.25,0.5,256.845
0.25,0.5,256.795
0.25,0.5,256.745
0.25,0.5,256.69501
0.25,0.5,256.645
0.25,0.5,256.595
0.25,0.5,256.545
0.25,0.5,256.495
0.25,0.5,256.44501
0.25,0.5,256.395
0.25,0.5,256.345
0.25,0.5,256.295
0.25,0.5,256.245
0.25,0.5,256.19501
0.25,0.5,256.145
0.25,0.5,256.095
0.25,0.5,256.045
0.75,0.5,258.49532
0.75,0.5,258.44532
0.75,0.5,258.39532
0.75,0.5,258.34531
0.75,0.5,258.29531
0.75,0.5,258.24532
0.75,0.5,258.19532
0.75,0.5,258.14532
0.75,0.5,258.09531
0.75,0.5,258.04531
0.75,0.5,257.99532
0.75,0.5,257.94532
0.75,0.5,257.89532
0.75,0.5,257.84531
0.75,0.5,257.79531
0.75,0.5,257.74532
0.75,0.5,257.69532
0.75,0.5,257.64532
0.75,0.5,257.59531
0.75,0.5,257.54531
0.75,0.5,257.49532
0.75,0.5,257.44532
0.75,0.5,257.39532
0.75,0.5,257.34531
0.75,0.5,257.29531
0.75,0.5,257.24532
0.75,0.5,257.19532
0.75,0.5,257.14532
0.75,0.5,257.09531
0.75,0.5,257.04531
0.75,0.5,256.99532
0.75,0.5,256.94532
0.75,0.5,256.89532
0.75,0.5,256.84531
0.75,0.5,256.79531
0.75,0.5,256.74532
0.75,0.5,256.69532
0.75,0.5,256.64532
0.75,0.5,256.59531
0.75,0.5,256.54531
0.75,0.5,256.49532
0.75,0.5,256.44532
0.75,0.5,256.39532
0.75,0.5,256.34531
0.75,0.5,256.29531
0.75,0.5,256.24532
0.75,0.5,256.19532
0.75,0.5,256.14532
0.75,0.5,256.09531
0.75,0.5,256.04531
1.25,0.5,258.73279
1.25,0.5,258.68279
1.25,0.5,258.63279
1.25,0.5,258.58279
1.25,0.5,258.53278
1.25,0.5,258.48279
1.25,0.5,258.43279
1.25,0.5,258.38279
1.25,0.5,258.33279
1.25,0.5,258.28278
1.25,0.5,258.23279
1.25,0.5,258.18279
1.25,0.5,258.13279
1.25,0.5,258.08279
1.25,0.5,258.03278
1.25,0.5,257.98279
1.25,0.5,257.93279
1.25,0.5,257.88279
1.25,0.5,257.83279
1.25,0.5,257.78278
1.25,0.5,257.73279
1.25,0.5,257.68279
1.25,0.5,257.63279
1.25,0.5,257.58279
1.25,0.5,257.53278
1.25,0.5,257.48279
1.25,0.5,257.43279
1.25,0.5,257.38279
1.25,0.5,257.33279
1.25,0.5,257.28278
1.25,0.5,257.23279
1.25,0.5,257.18279
1.25,0.5,257.13279
1.25,0.5,257.08279
1.25,0.5,257.03278
1.25,0.5,256.98279
1.25,0.5,256.93279
1.25,0.5,256.88279
1.25,0.5,256.83279
1.25,0.5,256.78278
1.25,0.5,256.73279
1.25,0.5,256.68279
1.25,0.5,256.63279
1.25,0.5,256.58279
1.25,0.5,256.53278
1.25,0.5,256.48279
1.25,0.5,256.43279
1.25,0.5,256.38279
1.25,0.5,256.33279
1.25,0.5,256.28278
1.75,0.5,259.20667
1.75,0.5,259.15668
1.75,0.5,259.10667
1.75,0.5,259.05667
1.75,0.5,259.00667
1.75,0.5,258.95667
1.75,0.5,258.90668
1.75,0.5,258.85667
1.75,0.5,258.80667
1.75,0.5,258.75667
1.75,0.5,258.70667
1.75,0.5,258.65668
1.75,0.5,258.60667
1.75,0.5,258.55667
1.75,0.5,258.50667
1.75,0.5,258.45667
1.75,0.5,258.40668
1.75,0.5,258.35667
1.75,0.5,258.30667
1.75,0.5,258.25667
1.75,0.5,258.20667
1.75,0.5,258.15668
1.75,0.5,258.10667
1.75,0.5,258.05667
1.75,0.5,258.00667
1.75,0.5,257.95667
1.75,0.5,257.90668
1.75,0.5,257.85667
1.75,0.5,257.80667
1.75,0.5,257.75667
1.75,0.5,257.70667
1.75,0.5,257.65668
1.75,0.5,257.60667
1.75,0.5,257.55667
1.75,0.5,257.50667
1.75,0.5,257.45667
1.75,0.5,257.40668
1.75,0.5,257.35667
1.75,0.5,257.30667
1.75,0.5,257.25667
1.75,0.5,257.20667
1.75,0.5,257.15668
1.75,0.5,257.10667
1.75,0.5,257.05667
1.75,0.5,257.00667
1.75,0.5,256.95667
1.75,0.5,256.90668
1.75,0.5,256.85667
1.75,0.5,256.80667
1.75,0.5,256.75667
1.75,0.5,256.58167
0.25,0.5,255.87
0.25,0.5,255.32
0.25,0.5,254.27
0.25,0.5,252.72
0.25,0.5,250.67001
0.25,0.5,248.12
0.25,0.5,245.07
0.25,0.5,241.52
0.75,0.5,255.87031
0.75,0.5,255.32032
0.75,0.5,254.27032
0.75,0.5,252.72032
0.75,0.5,250.67032
0.75,0.5,248.12032
0.75,0.5,245.07032
0.75,0.5,241.52032
1.25,0.5,256.10778
1.25,0.5,255.55779
1.25,0.5,254.50779
1.25,0.5,252.95779
1.25,0.5,250.90779
1.25,0.5,248.35779
1.25,0.5,245.30779
1.25,0.5,241.75779
1.75,0.5,256.03167
1.75,0.5,254.98167
1.75,0.5,253.43167
1.75,0.5,251.38168
1.75,0.5,248.83167
1.75,0.5,245.78167
1.75,0.5,242.23167
2.25,0.5,259.51794
2.25,0.5,259.46795
2.25,0.5,259.41795
2.25,0.5,259.36795
2.25,0.5,259.31795
2.25,0.5,259.26794
2.25,0.5,259.21795
2.25,0.5,259.16795
2.25,0.5,259.11795
2.25,0.5,259.06795
2.25,0.5,259.01794
2.25,0.5,258.96795
2.25,0.5,258.91795
2.25,0.5,258.86795
2.25,0.5,258.81795
2.25,0.5,258.76794
2.25,0.5,258.71795
2.25,0.5,258.66795
2.25,0.5,258.61795
2.25,0.5,258.56795
2.25,0.5,258.51794
2.25,0.5,258.46795
2.25,0.5,258.41795
2.25,0.5,258.36795
2.25,0.5,258.31795
2.25,0.5,258.26794
2.25,0.5,258.21795
2.25,0.5,258.16795
2.25,0.5,258.11795
2.25,0.5,258.06795
2.25,0.5,258.01794
2.25,0.5,257.96795
2.25,0.5,257.91795
2.25,0.5,257.86795
2.25,0.5,257.81795
2.25,0.5,257.76794
2.25,0.5,257.71795
2.25,0.5,257.66795
2.25,0.5,257.61795
2.25,0.5,257.56795
2.25,0.5,257.51794
2.25,0.5,257.46795
2.25,0.5,257.41795
2.25,0.5,257.36795
2.25,0.5,257.31795
2.25,0.5,257.26794
2.25,0.5,257.21795
2.25,0.5,257.16795
2.25,0.5,257.11795
2.25,0.5,257.06795
2.25,0.5,256.89294
2.25,0.5,256.34295
2.75,0.5,259.66714
2.75,0.5,259.61714
2.75,0.5,259.56714
2.75,0.5,259.51715
2.75,0.5,259.46715
2.75,0.5,259.41714
2.75,0.5,259.36714
2.75,0.5,259.31714
2.75,0.5,259.26715
2.75,0.5,259.21715
2.75,0.5,259.16714
2.75,0.5,259.11714
2.75,0.5,259.06714
2.75,0.5,259.01715
2.75,0.5,258.96715
2.75,0.5,258.91714
2.75,0.5,258.86714
2.75,0.5,258.81714
2.75,0.5,258.76715
2.75,0.5,258.71715
2.75,0.5,258.66714
2.75,0.5,258.61714
2.75,0.5,258.56714
2.75,0.5,258.51715
2.75,0.5,258.46715
2.75,0.5,258.41714
2.75,0.5,258.36714
2.75,0.5,258.31714
2.75,0.5,258.26715
2.75,0.5,258.21715
2.75,0.5,258.16714
2.75,0.5,258.11714
2.75,0.5,258.06714
2.75,0.5,258.01715
2.75,0.5,257.96715
2.75,0.5,257.91714
2.75,0.5,257.86714
2.75,0.5,257.81714
2.75,0.5,257.76715
2.75,0.5,257.71715
2.75,0.5,257.66714
2.75,0.5,257.61714
2.75,0.5,257.56714
2.75,0.5,257.51715
2.75,0.5,257.46715
2.75,0.5,257.41714
2.75,0.5,257.36714
2.75,0.5,257.31714
2.75,0.5,257.26715
2.75,0.5,257.21715
2.75,0.5,257.04214
2.75,0.5,256.49214
3.25,0.5,259.84033
3.25,0.5,259.79033
3.25,0.5,259.74033
3.25,0.5,259.69033
3.25,0.5,259.64033
3.25,0.5,259.59033
3.25,0.5,259.54033
3.25,0.5,259.49033
3.25,0.5,259.44033
3.25,0.5,259.39033
3.25,0.5,259.34033
3.25,0.5,259.29033
3.25,0.5,259.24033
3.25,0.5,259.19033
3.25,0.5,259.14033
3.25,0.5,259.09033
3.25,0.5,259.04033
3.25,0.5,258.99033
3.25,0.5,258.94033
3.25,0.5,258.89033
3.25,0.5,258.84033
3.25,0.5,258.79033
3.25,0.5,258.74033
3.25,0.5,258.69033
3.25,0.5,258.64033
3.25,0.5,258.59033
3.25,0.5,258.54033
3.25,0.5,258.49033
3.25,0.5,258.44033
3.25,0.5,258.39033
3.25,0.5,258.34033
3.25,0.5,258.29033
3.25,0.5,258.24033
3.25,0.5,258.19033
3.25,0.5,258.14033
3.25,0.5,258.09033
3.25,0.5,258.04033
3.25,0.5,257.99033
3.25,0.5,257.94033
3.25,0.5,257.89033
3.25,0.5,257.84033
3.25,0.5,257.79033
3.25,0.5,257.74033
3.25,0.5,257.69033
3.25,0.5,257.64033
3.25,0.5,257.59033
3.25,0.5,257.54033
3.25,0.5,257.49033
3.25,0.5,257.44033
3.25,0.5,257.39033
3.25,0.5,257.21533
3.25,0.5,256.66533
3.75,0.5,260.03732
3.75,0.5,259.98732
