X	Graphic Profile 1
0.999333605954	259.4118
1.99866721191	259.468
2.99800081872	259.766
3.99733442397	260.1599
4.99666802992	260.4856
5.99600163588	260.6544
6.99533524269	260.7923
7.99466884723	260.8913
8.9940024546	260.9834
9.99333606055	261.048
10.9926696652	261.1495
11.9920032712	261.2066
12.9913368771	261.1755
13.9906704831	261.1492
14.9900040899	261.1454
15.9893376934	261.1483
16.9886712994	261.1469
17.9880049053	261.1551
18.9873385099	261.1693
19.986672116	261.1785
20.9860057241	261.2378
21.98533933	261.2999
22.9846729339	261.3284
23.9840065407	261.3203
24.9833401466	261.3155
25.9826737526	261.3237
26.9820073578	261.3105
27.9813409646	261.2902
28.9806745706	261.2734
29.9800081765	261.2584
30.9793417811	261.2883
31.9786753893	261.3247
32.9780089927	261.3551
33.9773425995	261.3648
34.976676205	261.3651
35.9760098119	261.3627
36.9753434152	261.3796
37.974677022	261.4044
38.9740106273	261.4093
39.9733442332	261.4029
40.9726778392	261.4123
41.972011446	261.4168
42.9713450498	261.4159
43.9706786579	261.4087
44.9700122639	261.4067
45.96934587	261.4103
46.9686794745	261.4171
47.9680130805	261.4234
48.9673466864	261.4177
49.9666802932	261.411
50.9660138985	261.4019
51.9653475044	261.4
52.9646811104	261.4102
53.9640147172	261.4236
54.9633483193	261.4199
55.9626819291	261.4196
56.9620155351	261.4351
57.9613491412	261.4382
58.960682744	261.4295
59.9600163499	261.4364
60.9593499559	261.4444
61.9586835611	261.4426
62.958017168	261.4273
63.9573507739	261.4183
64.9566843799	261.4147
65.9560179858	261.4108
66.9553515926	261.4049
67.9546851986	261.395
68.9540188038	261.3904
69.9533524098	261.4005
70.9526860152	261.4068
71.9520196211	261.4201
72.9513532271	261.4384
73.9506868323	261.4517
74.9500204392	261.4601
75.9493540425	261.4485
76.9486876493	261.4422
77.9480212553	261.4461
78.9473548612	261.4508
79.9466884672	261.4573
80.9460220733	261.4487
81.9453556793	261.4298
82.9446892838	261.4222
83.9440228898	261.4422
84.9433564959	261.4621
85.9426901018	261.4526
86.9420237078	261.4303
87.9413573137	261.4089
88.9406909205	261.4124
89.9400245265	261.4366
90.9393581324	261.4627
91.9386917384	261.4788
92.9380253445	261.4805
93.9373589487	261.4848
94.936692555	261.5005
95.9360261609	261.529
96.9353597671	261.549
97.9346933713	261.5732
98.9340269772	261.5987
99.9333605832	261.5986
100.932694192	261.588
101.932027796	261.5637
102.931361402	261.5346
103.930695007	261.5158
104.930028613	261.5051
105.92936222	261.4981
106.928695824	261.5014
107.92802943	261.5263
108.927363036	261.553
109.926696642	261.5551
110.926030248	261.5581
111.925363854	261.5553
112.92469746	261.5488
113.924031067	261.5687
114.923364671	261.5872
115.922698278	261.5962
116.922031884	261.613
117.92136549	261.6326
118.920699093	261.642
119.920032699	261.6483
120.919366305	261.6514
121.918699911	261.6719
122.918033517	261.7086
123.917367124	261.7498
124.91670073	261.773
125.916034336	261.7935
126.915367941	261.8067
127.914701548	261.8193
128.914035154	261.8403
129.913368758	261.866
130.912702364	261.8853
131.912035973	261.9011
132.911369576	261.9222
133.910703182	261.9588
134.910036788	261.983
135.909370395	261.9857
136.908703999	262.0059
137.908037605	262.0296
138.90737121	262.0447
139.906704819	262.0676
140.906038423	262.0969
141.905372028	262.1296
142.904705633	262.1869
143.904039241	262.2701
144.903372846	262.3644
145.902706452	262.4487
146.902040058	262.5241
147.901373664	262.6366
148.90070727	262.7665
149.900040876	262.8402
150.899374482	262.8496
151.898708088	262.8509
152.898041694	262.8467
153.897375296	262.8413
154.896708904	262.8383
155.89604251	262.8522
156.895376117	262.8636
157.89470972	262.8659
158.894043327	262.8707
159.893376933	262.8843
160.892710542	262.891
161.892044144	262.8848
162.891377751	262.8976
163.890711357	262.9117
164.890044963	262.934
165.889378568	262.9512
166.888712176	262.9503
167.88804578	262.9527
168.887379386	262.9664
169.886712992	262.9804
170.886046598	262.9859
171.885380204	262.9958
172.88471381	263.0095
173.884047416	263.016
174.883381022	263.0307
175.882714628	263.0429
176.882048234	263.0558
177.881381839	263.0714
178.880715447	263.0898
179.880049049	263.0982
180.879382655	263.1007
181.878716261	263.1132
182.878049867	263.1242
183.877383474	263.1305
184.876717079	263.1366
185.876050685	263.1429
186.875384291	263.1477
187.874717898	263.1548
188.874051504	263.1648
189.87338511	263.1716
190.872718716	263.1726
191.87205232	263.1756
192.871385926	263.1994
193.870719532	263.2108
194.870053138	263.2149
195.869386745	263.2298
196.868720349	263.2449
197.868053954	263.2538
198.86738756	263.2628
199.866721169	263.2736
200.866054773	263.2792
201.865388379	263.2933
202.864721985	263.3047
203.864055589	263.3048
204.863389196	263.2971
205.862722802	263.3166
206.862056408	263.3249
207.861390013	263.3282
208.86072362	263.3424
209.860057226	263.3552
210.859390832	263.3621
211.858724438	263.3697
212.858058044	263.3813
213.85739165	263.4
214.856725256	263.4103
215.85605886	263.425
216.855392467	263.4276
217.85472607	263.4486
218.854059677	263.4522
219.853393282	263.4382
220.852726891	263.3994
221.852060494	263.3704
222.851394101	263.3645
223.850727707	263.3668
224.850061313	263.3801
225.849394919	263.4184
226.848728525	263.4711
227.84806213	263.5
